Year,Indicator,Value
2020,Basic Water - Rural,80.51261531739766
2020,Basic Water - Urban,91.61567530015525
2020,Electricity - Rural,91.5
2020,Electricity - Urban,99.6
2020,Safely Managed Water - Rural,44.38828591
2020,Safely Managed Water - Urban,45.39239037
2021,Safely Managed Water - Urban,45.41351487
2021,Safely Managed Water - Rural,44.53756552
2021,Electricity - Urban,99.9
2021,Basic Water - Urban,92.05937577740869
2021,Basic Water - Rural,82.63581092425724
2021,Electricity - Rural,91.9
2022,Basic Water - Rural,84.75899434048675
2022,Basic Water - Urban,92.50299563651109
2022,Electricity - Rural,93
2022,Electricity - Urban,100
2022,Safely Managed Water - Rural,44.68684514
2022,Safely Managed Water - Urban,45.43463938
2023,Safely Managed Water - Urban,45.43463938
2023,Safely Managed Water - Rural,44.68684514
2023,Electricity - Urban,100
2023,Basic Water - Urban,92.50299563651109
2023,Basic Water - Rural,84.75899434048675
2023,Electricity - Rural,92.8
2024,Safely Managed Water - Rural,44.68684514
2024,Basic Water - Rural,84.75899434048675
2024,Basic Water - Urban,92.50299563651109
2024,Electricity - Rural,
2024,Electricity - Urban,
2024,Safely Managed Water - Urban,45.43463938
